NDI Frame Rate and Bitrate Report
11:20:30: 30.0 fps, Codec: UYVY, Bitrate: 8142194.9 Mbps
11:20:40: 30.0 fps, Codec: UYVY, Bitrate: 9608393.58 Mbps
11:20:50: 30.0 fps, Codec: UYVY, Bitrate: 8687041.3 Mbps
11:21:01: 30.0 fps, Codec: UYVY, Bitrate: 8999317.72 Mbps
11:21:11: 30.0 fps, Codec: UYVY, Bitrate: 8373122.81 Mbps
11:21:21: 30.0 fps, Codec: UYVY, Bitrate: 7988349.95 Mbps
11:21:31: 30.0 fps, Codec: UYVY, Bitrate: 8377577.16 Mbps
11:21:41: 30.0 fps, Codec: UYVY, Bitrate: 8519323.67 Mbps
11:21:51: 30.0 fps, Codec: UYVY, Bitrate: 8770428.26 Mbps
11:22:01: 30.0 fps, Codec: UYVY, Bitrate: 8453735.24 Mbps
11:22:11: 30.0 fps, Codec: UYVY, Bitrate: 9378050.79 Mbps
